"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"4";"0";"116";"1,21";"4194304";"421528";"10,05";"0";"16";"34";"2";"2"
"04.01.2016 00:05:00";"4";"0";"160";"1,67";"4194304";"983564";"23,45";"57";"1051";"34";"8";"1050"
"04.01.2016 00:10:00";"4";"0";"136";"1,41";"4194304";"580911";"13,85";"8";"50";"34";"3";"3"
"04.01.2016 00:15:00";"4";"0";"557";"5,8";"4194304";"911003";"21,72";"14831";"42";"34";"91";"3661"
"04.01.2016 00:20:00";"4";"0";"210";"2,19";"4194304";"2199912";"52,45";"2877";"24";"34";"12";"404"
"04.01.2016 00:25:00";"4";"0";"121";"1,26";"4194304";"955882";"22,79";"6";"17";"34";"3";"2"
"04.01.2016 00:30:00";"4";"0";"136";"1,41";"4194304";"538968";"12,85";"0";"53";"34";"2";"2"
"04.01.2016 00:35:00";"4";"0";"117";"1,22";"4194304";"460954";"10,99";"0";"26";"34";"2";"2"
"04.01.2016 00:40:00";"4";"0";"114";"1,19";"4194304";"419011";"9,99";"0";"21";"34";"3";"2"
"04.01.2016 00:45:00";"4";"0";"127";"1,32";"4194304";"396362";"9,45";"0";"25";"34";"2";"2"
"04.01.2016 00:50:00";"4";"0";"121";"1,26";"4194304";"419011";"9,99";"0";"27";"34";"2";"2"
"04.01.2016 00:55:00";"4";"0";"117";"1,22";"4194304";"519674";"12,39";"0";"25";"34";"3";"3"
"04.01.2016 01:00:00";"4";"0";"123";"1,28";"4194304";"553229";"13,19";"0";"20";"34";"3";"2"
"04.01.2016 01:05:00";"4";"0";"121";"1,26";"4194304";"393845";"9,39";"4";"32";"34";"3";"3"
"04.01.2016 01:10:00";"4";"0";"111";"1,16";"4194304";"466407";"11,12";"0";"16";"34";"3";"2"
"04.01.2016 01:15:00";"4";"0";"133";"1,39";"4194304";"393845";"9,39";"0";"40";"34";"2";"2"
"04.01.2016 01:20:00";"4";"0";"115";"1,19";"4194304";"402234";"9,59";"0";"21";"34";"2";"2"
"04.01.2016 01:25:00";"4";"0";"120";"1,25";"4194304";"427400";"10,19";"0";"23";"34";"3";"2"
"04.01.2016 01:30:00";"4";"0";"121";"1,26";"4194304";"377068";"8,99";"0";"16";"34";"2";"2"
"04.01.2016 01:35:00";"4";"0";"116";"1,21";"4194304";"511286";"12,19";"0";"12";"34";"2";"2"
"04.01.2016 01:40:00";"4";"0";"114";"1,18";"4194304";"371196";"8,85";"0";"13";"34";"3";"3"
"04.01.2016 01:45:00";"4";"0";"125";"1,3";"4194304";"393845";"9,39";"0";"17";"34";"3";"2"
"04.01.2016 01:50:00";"4";"0";"112";"1,17";"4194304";"410622";"9,79";"0";"13";"34";"2";"2"
"04.01.2016 01:55:00";"4";"0";"119";"1,24";"4194304";"460954";"10,99";"0";"25";"34";"3";"2"
"04.01.2016 02:00:00";"4";"0";"121";"1,26";"4194304";"318348";"7,59";"0";"7";"34";"2";"2"
"04.01.2016 02:05:00";"4";"0";"152";"1,58";"4194304";"402234";"9,59";"0";"24";"34";"3";"3"
"04.01.2016 02:10:00";"4";"0";"125";"1,3";"4194304";"455082";"10,85";"0";"29";"34";"3";"2"
"04.01.2016 02:15:00";"4";"0";"136";"1,42";"4194304";"561617";"13,39";"0";"27";"34";"2";"2"
"04.01.2016 02:20:00";"4";"0";"126";"1,31";"4194304";"377068";"8,99";"0";"46";"34";"3";"2"
"04.01.2016 02:25:00";"4";"0";"125";"1,3";"4194304";"452565";"10,79";"0";"32";"34";"3";"2"
"04.01.2016 02:30:00";"4";"0";"124";"1,29";"4194304";"427400";"10,19";"0";"16";"34";"2";"2"
"04.01.2016 02:35:00";"4";"0";"129";"1,34";"4194304";"435788";"10,39";"0";"41";"34";"3";"2"
"04.01.2016 02:40:00";"4";"0";"276";"2,88";"4194304";"458018";"10,92";"0";"37";"34";"4";"1596"
"04.01.2016 02:45:00";"4";"0";"186";"1,94";"4194304";"796498";"18,99";"0";"43";"34";"2";"2"
"04.01.2016 02:50:00";"4";"0";"125";"1,3";"4194304";"578395";"13,79";"0";"32";"34";"3";"2"
"04.01.2016 02:55:00";"4";"0";"132";"1,38";"4194304";"419011";"9,99";"0";"35";"34";"3";"2"
"04.01.2016 03:00:00";"4";"0";"139";"1,44";"4194304";"402234";"9,59";"0";"30";"34";"2";"2"
"04.01.2016 03:05:00";"4";"0";"128";"1,34";"4194304";"444177";"10,59";"0";"36";"34";"3";"3"
"04.01.2016 03:10:00";"4";"0";"138";"1,43";"4194304";"393845";"9,39";"1";"46";"34";"3";"3"
"04.01.2016 03:15:00";"4";"0";"145";"1,52";"4194304";"320864";"7,65";"0";"47";"34";"2";"2"
"04.01.2016 03:20:00";"4";"0";"141";"1,47";"4194304";"393845";"9,39";"0";"51";"34";"3";"2"
"04.01.2016 03:25:00";"4";"0";"136";"1,42";"4194304";"371196";"8,85";"0";"46";"34";"3";"2"
"04.01.2016 03:30:00";"4";"0";"155";"1,62";"4194304";"427400";"10,19";"0";"54";"34";"3";"2"
"04.01.2016 03:35:00";"4";"0";"133";"1,39";"4194304";"402234";"9,59";"0";"35";"34";"2";"2"
"04.01.2016 03:40:00";"4";"0";"145";"1,51";"4194304";"343513";"8,19";"0";"58";"34";"3";"2"
"04.01.2016 03:45:00";"4";"0";"143";"1,49";"4194304";"421528";"10,05";"0";"41";"34";"3";"2"
"04.01.2016 03:50:00";"4";"0";"154";"1,61";"4194304";"427400";"10,19";"28";"68";"34";"3";"3"
"04.01.2016 03:55:00";"4";"0";"157";"1,64";"4194304";"511286";"12,19";"0";"38";"34";"4";"3"
"04.01.2016 04:00:00";"4";"0";"171";"1,78";"4194304";"377068";"8,99";"0";"39";"34";"4";"3"
"04.01.2016 04:05:00";"4";"0";"159";"1,66";"4194304";"427400";"10,19";"0";"35";"34";"4";"4"
"04.01.2016 04:10:00";"4";"0";"171";"1,78";"4194304";"402234";"9,59";"0";"44";"34";"4";"3"
"04.01.2016 04:15:00";"4";"0";"170";"1,78";"4194304";"466407";"11,12";"0";"53";"34";"4";"3"
"04.01.2016 04:20:00";"4";"0";"168";"1,75";"4194304";"452565";"10,79";"0";"43";"34";"4";"3"
"04.01.2016 04:25:00";"4";"0";"169";"1,76";"4194304";"452565";"10,79";"0";"44";"34";"4";"3"
"04.01.2016 04:30:00";"4";"0";"170";"1,77";"4194304";"421528";"10,05";"0";"27";"34";"4";"3"
"04.01.2016 04:35:00";"4";"0";"162";"1,68";"4194304";"421528";"10,05";"0";"32";"34";"4";"4"
"04.01.2016 04:40:00";"4";"0";"163";"1,7";"4194304";"404750";"9,65";"0";"36";"34";"4";"3"
"04.01.2016 04:45:00";"4";"0";"171";"1,79";"4194304";"460954";"10,99";"0";"33";"34";"4";"3"
"04.01.2016 04:50:00";"4";"0";"182";"1,9";"4194304";"444177";"10,59";"0";"41";"34";"4";"4"
"04.01.2016 04:55:00";"4";"0";"171";"1,78";"4194304";"368679";"8,79";"0";"40";"34";"4";"3"
"04.01.2016 05:00:00";"4";"0";"166";"1,73";"4194304";"471859";"11,25";"0";"25";"34";"3";"3"
"04.01.2016 05:05:00";"4";"0";"174";"1,81";"4194304";"374132";"8,92";"0";"47";"34";"4";"4"
"04.01.2016 05:10:00";"4";"0";"169";"1,76";"4194304";"393845";"9,39";"0";"28";"34";"4";"3"
"04.01.2016 05:15:00";"4";"0";"274";"2,85";"4194304";"874512";"20,85";"0";"50";"34";"4";"4"
"04.01.2016 05:20:00";"4";"0";"162";"1,69";"4194304";"558681";"13,32";"0";"25";"34";"4";"3"
"04.01.2016 05:25:00";"4";"0";"170";"1,77";"4194304";"416075";"9,92";"0";"42";"34";"4";"3"
"04.01.2016 05:30:00";"4";"0";"173";"1,8";"4194304";"427400";"10,19";"0";"37";"34";"4";"3"
"04.01.2016 05:35:00";"4";"0";"151";"1,58";"4194304";"508350";"12,12";"0";"14";"34";"4";"4"
"04.01.2016 05:40:00";"4";"0";"155";"1,61";"4194304";"410622";"9,79";"0";"11";"34";"4";"3"
"04.01.2016 05:45:00";"4";"0";"197";"2,06";"4194304";"586783";"13,99";"0";"16";"34";"4";"3"
"04.01.2016 05:50:00";"4";"0";"153";"1,59";"4194304";"541904";"12,92";"0";"13";"34";"4";"3"
"04.01.2016 05:55:00";"4";"0";"156";"1,62";"4194304";"424464";"10,12";"0";"16";"34";"4";"3"
"04.01.2016 06:00:00";"4";"0";"156";"1,62";"4194304";"404750";"9,65";"0";"15";"34";"3";"3"
"04.01.2016 06:05:00";"4";"0";"152";"1,58";"4194304";"402234";"9,59";"0";"12";"34";"4";"4"
"04.01.2016 06:10:00";"4";"0";"161";"1,68";"4194304";"360291";"8,59";"0";"32";"34";"3";"3"
"04.01.2016 06:15:00";"4";"0";"168";"1,75";"4194304";"396362";"9,45";"0";"35";"34";"4";"3"
"04.01.2016 06:20:00";"4";"0";"144";"1,5";"4194304";"393845";"9,39";"0";"20";"34";"4";"3"
"04.01.2016 06:25:00";"4";"0";"166";"1,73";"4194304";"455082";"10,85";"0";"30";"34";"4";"3"
"04.01.2016 06:30:00";"4";"0";"151";"1,58";"4194304";"460954";"10,99";"0";"16";"34";"3";"3"
"04.01.2016 06:35:00";"4";"0";"154";"1,61";"4194304";"424464";"10,12";"0";"15";"34";"4";"4"
"04.01.2016 06:40:00";"4";"0";"153";"1,59";"4194304";"419011";"9,99";"0";"28";"34";"3";"3"
"04.01.2016 06:45:00";"4";"0";"158";"1,64";"4194304";"449629";"10,72";"0";"30";"34";"4";"3"
"04.01.2016 06:50:00";"4";"0";"144";"1,5";"4194304";"371196";"8,85";"0";"10";"34";"4";"3"
"04.01.2016 06:55:00";"4";"0";"153";"1,6";"4194304";"396362";"9,45";"0";"15";"34";"4";"4"
"04.01.2016 07:00:00";"4";"0";"153";"1,6";"4194304";"432852";"10,32";"0";"28";"34";"3";"3"
"04.01.2016 07:05:00";"4";"0";"167";"1,74";"4194304";"335125";"7,99";"0";"40";"34";"4";"4"
"04.01.2016 07:10:00";"4";"0";"173";"1,8";"4194304";"399298";"9,52";"0";"64";"34";"4";"3"
"04.01.2016 07:15:00";"4";"0";"192";"2";"4194304";"449629";"10,72";"0";"71";"34";"4";"4"
"04.01.2016 07:20:00";"4";"0";"163";"1,7";"4194304";"419011";"9,99";"0";"62";"34";"4";"3"
"04.01.2016 07:25:00";"4";"0";"173";"1,8";"4194304";"404750";"9,65";"0";"52";"34";"4";"4"
"04.01.2016 07:30:00";"4";"0";"170";"1,77";"4194304";"491572";"11,72";"0";"54";"34";"3";"3"
"04.01.2016 07:35:00";"4";"0";"199";"2,08";"4194304";"371196";"8,85";"0";"82";"34";"4";"4"
"04.01.2016 07:40:00";"4";"0";"165";"1,72";"4194304";"419011";"9,99";"0";"59";"34";"4";"4"
"04.01.2016 07:45:00";"4";"0";"180";"1,87";"4194304";"446693";"10,65";"0";"65";"34";"4";"4"
"04.01.2016 07:50:00";"4";"0";"269";"2,8";"4194304";"494508";"11,79";"0";"69";"34";"5";"1599"
"04.01.2016 07:55:00";"4";"0";"185";"1,93";"4194304";"689963";"16,45";"0";"68";"34";"4";"4"
"04.01.2016 08:00:00";"4";"0";"173";"1,8";"4194304";"561617";"13,39";"0";"54";"34";"3";"3"
"04.01.2016 08:05:00";"4";"0";"166";"1,73";"4194304";"477731";"11,39";"0";"54";"34";"4";"4"
"04.01.2016 08:10:00";"4";"0";"174";"1,82";"4194304";"471859";"11,25";"0";"69";"34";"4";"3"
"04.01.2016 08:15:00";"4";"0";"190";"1,98";"4194304";"452565";"10,79";"0";"71";"34";"4";"3"
"04.01.2016 08:20:00";"4";"0";"169";"1,76";"4194304";"365743";"8,72";"0";"59";"34";"4";"3"
"04.01.2016 08:25:00";"4";"0";"175";"1,82";"4194304";"435788";"10,39";"0";"64";"34";"4";"4"
"04.01.2016 08:30:00";"4";"0";"181";"1,88";"4194304";"483184";"11,52";"0";"77";"34";"4";"3"
"04.01.2016 08:35:00";"4";"0";"180";"1,88";"4194304";"377068";"8,99";"0";"67";"34";"4";"4"
"04.01.2016 08:40:00";"4";"0";"165";"1,72";"4194304";"413139";"9,85";"0";"54";"34";"4";"3"
"04.01.2016 08:45:00";"4";"0";"177";"1,85";"4194304";"474795";"11,32";"0";"57";"34";"4";"3"
"04.01.2016 08:50:00";"4";"0";"163";"1,7";"4194304";"460954";"10,99";"0";"63";"34";"4";"8"
"04.01.2016 08:55:00";"4";"0";"188";"1,96";"4194304";"421528";"10,05";"0";"90";"34";"4";"15"
"04.01.2016 09:00:00";"4";"0";"161";"1,68";"4194304";"413139";"9,85";"0";"58";"34";"4";"4"
"04.01.2016 09:05:00";"4";"0";"162";"1,68";"4194304";"429916";"10,25";"0";"40";"34";"4";"26"
"04.01.2016 09:10:00";"4";"0";"172";"1,79";"4194304";"407686";"9,72";"0";"50";"34";"4";"14"
"04.01.2016 09:15:00";"4";"0";"167";"1,74";"4194304";"469343";"11,19";"0";"49";"34";"4";"4"
"04.01.2016 09:20:00";"4";"0";"156";"1,63";"4194304";"323800";"7,72";"0";"52";"34";"4";"3"
"04.01.2016 09:25:00";"4";"0";"194";"2,02";"4194304";"583847";"13,92";"0";"55";"34";"4";"4"
"04.01.2016 09:30:00";"4";"0";"189";"1,97";"4194304";"737778";"17,59";"0";"58";"34";"3";"3"
"04.01.2016 09:35:00";"4";"0";"215";"2,24";"4194304";"840958";"20,05";"0";"76";"34";"4";"66"
"04.01.2016 09:40:00";"4";"0";"197";"2,06";"4194304";"871996";"20,79";"0";"69";"34";"6";"10"
"04.01.2016 09:45:00";"4";"0";"203";"2,12";"4194304";"924844";"22,05";"0";"50";"34";"4";"3"
